upstream_symbol	value	declaration_names	runtime_reverse_name	classification_markers	source_locations	moonbit_implementation	test_location	status
SyntaxKind[48]	48	LessThanLessThanToken	LessThanLessThanToken		LessThanLessThanToken@src/compiler/types.ts:97	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[49]	49	GreaterThanGreaterThanToken	GreaterThanGreaterThanToken		GreaterThanGreaterThanToken@src/compiler/types.ts:98	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[50]	50	GreaterThanGreaterThanGreaterThanToken	GreaterThanGreaterThanGreaterThanToken		GreaterThanGreaterThanGreaterThanToken@src/compiler/types.ts:99	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[51]	51	AmpersandToken	AmpersandToken		AmpersandToken@src/compiler/types.ts:100	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[52]	52	BarToken	BarToken		BarToken@src/compiler/types.ts:101	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[53]	53	CaretToken	CaretToken		CaretToken@src/compiler/types.ts:102	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[54]	54	ExclamationToken	ExclamationToken		ExclamationToken@src/compiler/types.ts:103	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[55]	55	TildeToken	TildeToken		TildeToken@src/compiler/types.ts:104	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[56]	56	AmpersandAmpersandToken	AmpersandAmpersandToken		AmpersandAmpersandToken@src/compiler/types.ts:105	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[57]	57	BarBarToken	BarBarToken		BarBarToken@src/compiler/types.ts:106	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[58]	58	QuestionToken	QuestionToken		QuestionToken@src/compiler/types.ts:107	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[59]	59	ColonToken	ColonToken		ColonToken@src/compiler/types.ts:108	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[60]	60	AtToken	AtToken		AtToken@src/compiler/types.ts:109	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
